frame	 cx	 cy
1	 339.000000	 215.000000
2	 331.000000	 220.000000
3	 336.000000	 216.000000
4	 340.000000	 215.000000
5	 357.000000	 215.000000
6	 353.000000	 218.000000
7	 341.000000	 217.000000
8	 341.000000	 219.000000
9	 345.000000	 214.000000
10	 358.000000	 214.000000
11	 346.000000	 214.000000
12	 341.000000	 217.000000
13	 349.000000	 214.000000
14	 351.000000	 214.000000
15	 336.000000	 213.000000
16	 351.000000	 213.000000
17	 335.000000	 218.000000
18	 334.000000	 214.000000
19	 335.000000	 215.000000
20	 331.000000	 214.000000
21	 334.000000	 212.000000
22	 335.000000	 212.000000
23	 334.000000	 214.000000
24	 331.000000	 212.000000
25	 328.000000	 212.000000
26	 327.000000	 212.000000
27	 325.000000	 213.000000
28	 324.000000	 213.000000
29	 322.000000	 213.000000
30	 323.000000	 212.000000
31	 320.000000	 212.000000
32	 321.000000	 213.000000
33	 322.000000	 213.000000
34	 321.000000	 213.000000
35	 321.000000	 213.000000
36	 318.000000	 214.000000
37	 329.000000	 213.000000
38	 329.000000	 214.000000
39	 328.000000	 213.000000
40	 330.000000	 212.000000
41	 331.000000	 214.000000
42	 331.000000	 214.000000
43	 331.000000	 214.000000
44	 332.000000	 215.000000
45	 332.000000	 215.000000
46	 333.000000	 215.000000
47	 332.000000	 216.000000
48	 332.000000	 215.000000
49	 337.000000	 215.000000
50	 332.000000	 216.000000
51	 339.000000	 216.000000
52	 336.000000	 217.000000
53	 352.000000	 213.000000
54	 352.000000	 213.000000
55	 338.000000	 216.000000
56	 339.000000	 217.000000
57	 340.000000	 216.000000
58	 340.000000	 217.000000
59	 340.000000	 217.000000
60	 340.000000	 217.000000
61	 340.000000	 217.000000
62	 340.000000	 217.000000
63	 340.000000	 217.000000
64	 340.000000	 217.000000
65	 340.000000	 217.000000
66	 340.000000	 217.000000
67	 340.000000	 217.000000
68	 340.000000	 217.000000
69	 340.000000	 217.000000
70	 340.000000	 217.000000
71	 340.000000	 217.000000
72	 360.000000	 212.000000
73	 357.000000	 212.000000
74	 357.000000	 212.000000
75	 339.000000	 216.000000
76	 339.000000	 216.000000
77	 339.000000	 216.000000
78	 352.000000	 211.000000
79	 337.000000	 211.000000
80	 334.000000	 215.000000
81	 333.000000	 215.000000
82	 329.000000	 213.000000
83	 327.000000	 215.000000
84	 323.000000	 216.000000
85	 323.000000	 216.000000
86	 323.000000	 216.000000
87	 323.000000	 216.000000
88	 317.000000	 216.000000
89	 322.000000	 211.000000
90	 322.000000	 211.000000
91	 322.000000	 211.000000
92	 318.000000	 211.000000
93	 318.000000	 213.000000
94	 319.000000	 215.000000
95	 320.000000	 212.000000
96	 318.000000	 212.000000
97	 322.000000	 212.000000
98	 323.000000	 214.000000
99	 323.000000	 216.000000
100	 324.000000	 215.000000
101	 324.000000	 215.000000
102	 324.000000	 215.000000
103	 324.000000	 215.000000
104	 324.000000	 215.000000
105	 324.000000	 215.000000
106	 324.000000	 215.000000
107	 353.000000	 209.000000
108	 335.000000	 213.000000
109	 337.000000	 214.000000
110	 337.000000	 214.000000
111	 339.000000	 216.000000
112	 352.000000	 210.000000
113	 352.000000	 212.000000
114	 352.000000	 212.000000
115	 336.000000	 216.000000
116	 336.000000	 216.000000
117	 336.000000	 216.000000
118	 356.000000	 213.000000
119	 339.000000	 216.000000
120	 339.000000	 216.000000
121	 339.000000	 216.000000
122	 339.000000	 216.000000
123	 339.000000	 216.000000
124	 339.000000	 216.000000
125	 339.000000	 216.000000
126	 343.000000	 218.000000
127	 343.000000	 218.000000
128	 343.000000	 218.000000
129	 343.000000	 218.000000
130	 358.000000	 216.000000
131	 358.000000	 216.000000
132	 354.000000	 214.000000
133	 350.000000	 215.000000
134	 344.000000	 216.000000
135	 353.000000	 207.000000
136	 353.000000	 210.000000
137	 353.000000	 210.000000
138	 353.000000	 210.000000
139	 324.000000	 221.000000
140	 319.000000	 223.000000
141	 335.000000	 214.000000
142	 336.000000	 212.000000
143	 336.000000	 212.000000
144	 327.000000	 213.000000
145	 325.000000	 214.000000
146	 321.000000	 212.000000
147	 321.000000	 215.000000
148	 321.000000	 215.000000
149	 321.000000	 215.000000
150	 321.000000	 215.000000
151	 321.000000	 215.000000
152	 321.000000	 215.000000
153	 321.000000	 215.000000
154	 319.000000	 215.000000
155	 321.000000	 215.000000
156	 321.000000	 215.000000
157	 321.000000	 217.000000
158	 321.000000	 220.000000
159	 329.000000	 212.000000
160	 326.000000	 213.000000
161	 326.000000	 213.000000
162	 326.000000	 213.000000
163	 328.000000	 212.000000
164	 328.000000	 212.000000
165	 328.000000	 212.000000
166	 328.000000	 212.000000
167	 328.000000	 212.000000
168	 328.000000	 212.000000
169	 328.000000	 212.000000
170	 352.000000	 212.000000
171	 352.000000	 212.000000
172	 331.000000	 213.000000
173	 331.000000	 213.000000
174	 338.000000	 218.000000
175	 337.000000	 218.000000
176	 337.000000	 218.000000
177	 337.000000	 218.000000
178	 337.000000	 218.000000
179	 337.000000	 218.000000
180	 337.000000	 218.000000
181	 337.000000	 218.000000
182	 337.000000	 218.000000
183	 337.000000	 218.000000
184	 337.000000	 218.000000
185	 337.000000	 218.000000
186	 337.000000	 218.000000
187	 337.000000	 218.000000
188	 337.000000	 218.000000
189	 337.000000	 218.000000
190	 337.000000	 218.000000
191	 337.000000	 218.000000
192	 337.000000	 218.000000
193	 337.000000	 218.000000
194	 337.000000	 218.000000
195	 337.000000	 218.000000
196	 357.000000	 209.000000
197	 355.000000	 210.000000
198	 355.000000	 210.000000
199	 355.000000	 210.000000
200	 354.000000	 210.000000
201	 354.000000	 210.000000
202	 354.000000	 210.000000
203	 354.000000	 210.000000
204	 354.000000	 210.000000
205	 354.000000	 210.000000
206	 354.000000	 210.000000
207	 311.000000	 222.000000
208	 311.000000	 222.000000
209	 331.000000	 213.000000
210	 327.000000	 212.000000
211	 328.000000	 211.000000
212	 320.000000	 217.000000
213	 320.000000	 217.000000
214	 320.000000	 217.000000
215	 320.000000	 217.000000
216	 320.000000	 217.000000
217	 320.000000	 212.000000
218	 322.000000	 210.000000
219	 317.000000	 212.000000
220	 317.000000	 210.000000
221	 317.000000	 210.000000
222	 315.000000	 210.000000
223	 315.000000	 210.000000
224	 315.000000	 210.000000
225	 315.000000	 210.000000
226	 322.000000	 212.000000
227	 323.000000	 214.000000
228	 325.000000	 213.000000
229	 325.000000	 213.000000
230	 325.000000	 213.000000
231	 325.000000	 213.000000
232	 325.000000	 213.000000
233	 325.000000	 213.000000
234	 325.000000	 213.000000
235	 325.000000	 213.000000
236	 325.000000	 213.000000
237	 325.000000	 213.000000
238	 325.000000	 213.000000
239	 335.000000	 213.000000
240	 335.000000	 213.000000
241	 345.000000	 211.000000
242	 345.000000	 211.000000
243	 345.000000	 211.000000
244	 345.000000	 211.000000
245	 345.000000	 211.000000
246	 345.000000	 211.000000
247	 345.000000	 211.000000
248	 345.000000	 211.000000
249	 345.000000	 211.000000
250	 345.000000	 211.000000
251	 345.000000	 211.000000
252	 353.000000	 215.000000
253	 353.000000	 215.000000
254	 353.000000	 215.000000
255	 353.000000	 215.000000
256	 355.000000	 213.000000
257	 360.000000	 211.000000
258	 357.000000	 210.000000
259	 353.000000	 211.000000
260	 353.000000	 211.000000
261	 352.000000	 211.000000
262	 352.000000	 211.000000
263	 352.000000	 211.000000
264	 352.000000	 211.000000
265	 352.000000	 211.000000
266	 352.000000	 211.000000
267	 352.000000	 211.000000
268	 352.000000	 211.000000
269	 352.000000	 211.000000
270	 348.000000	 211.000000
271	 348.000000	 211.000000
272	 348.000000	 211.000000
273	 343.000000	 214.000000
274	 343.000000	 214.000000
275	 343.000000	 214.000000
276	 343.000000	 214.000000
277	 343.000000	 214.000000
278	 343.000000	 214.000000
279	 343.000000	 214.000000
280	 343.000000	 214.000000
281	 344.000000	 215.000000
282	 344.000000	 215.000000
283	 344.000000	 215.000000
284	 344.000000	 215.000000
285	 344.000000	 215.000000
286	 344.000000	 215.000000
287	 344.000000	 215.000000
288	 344.000000	 215.000000
289	 344.000000	 215.000000
290	 344.000000	 215.000000
291	 344.000000	 215.000000
292	 344.000000	 215.000000
293	 331.000000	 214.000000
294	 332.000000	 213.000000
295	 329.000000	 213.000000
296	 329.000000	 213.000000
297	 351.000000	 210.000000
298	 352.000000	 211.000000
299	 354.000000	 208.000000
300	 354.000000	 208.000000
301	 339.000000	 216.000000
302	 339.000000	 216.000000
303	 358.000000	 211.000000
304	 355.000000	 212.000000
305	 343.000000	 215.000000
306	 355.000000	 213.000000
307	 355.000000	 213.000000
308	 355.000000	 213.000000
309	 358.000000	 214.000000
310	 358.000000	 213.000000
311	 358.000000	 213.000000
312	 362.000000	 213.000000
313	 362.000000	 213.000000
314	 355.000000	 212.000000
315	 357.000000	 210.000000
316	 355.000000	 209.000000
317	 356.000000	 209.000000
318	 354.000000	 210.000000
319	 354.000000	 210.000000
320	 333.000000	 212.000000
321	 334.000000	 213.000000
322	 332.000000	 210.000000
323	 331.000000	 212.000000
324	 330.000000	 213.000000
325	 326.000000	 213.000000
326	 326.000000	 213.000000
327	 326.000000	 213.000000
328	 325.000000	 210.000000
329	 320.000000	 210.000000
330	 321.000000	 210.000000
331	 320.000000	 210.000000
332	 318.000000	 211.000000
333	 320.000000	 211.000000
334	 320.000000	 211.000000
335	 323.000000	 212.000000
336	 321.000000	 211.000000
337	 324.000000	 212.000000
338	 322.000000	 211.000000
339	 323.000000	 210.000000
340	 322.000000	 214.000000
341	 322.000000	 214.000000
342	 322.000000	 214.000000
343	 322.000000	 214.000000
344	 331.000000	 212.000000
345	 334.000000	 212.000000
346	 337.000000	 213.000000
347	 337.000000	 213.000000
348	 337.000000	 213.000000
349	 337.000000	 213.000000
350	 337.000000	 213.000000
351	 360.000000	 211.000000
352	 336.000000	 212.000000
353	 355.000000	 208.000000
354	 355.000000	 208.000000
355	 355.000000	 208.000000
356	 355.000000	 208.000000
357	 356.000000	 212.000000
358	 362.000000	 209.000000
359	 362.000000	 209.000000
360	 362.000000	 209.000000
361	 362.000000	 209.000000
362	 362.000000	 209.000000
363	 362.000000	 209.000000
364	 362.000000	 209.000000
365	 362.000000	 209.000000
366	 360.000000	 210.000000
367	 344.000000	 219.000000
368	 344.000000	 219.000000
369	 344.000000	 219.000000
370	 363.000000	 213.000000
371	 355.000000	 210.000000
372	 362.000000	 209.000000
373	 358.000000	 211.000000
374	 357.000000	 211.000000
375	 355.000000	 208.000000
376	 355.000000	 208.000000
377	 355.000000	 208.000000
378	 355.000000	 208.000000
379	 355.000000	 208.000000
380	 338.000000	 213.000000
381	 338.000000	 213.000000
382	 338.000000	 213.000000
383	 338.000000	 213.000000
384	 338.000000	 213.000000
385	 338.000000	 213.000000
386	 338.000000	 213.000000
387	 338.000000	 213.000000
388	 338.000000	 213.000000
389	 338.000000	 213.000000
390	 338.000000	 213.000000
391	 338.000000	 213.000000
392	 338.000000	 213.000000
393	 338.000000	 213.000000
394	 338.000000	 213.000000
395	 338.000000	 213.000000
396	 338.000000	 213.000000
397	 338.000000	 213.000000
398	 338.000000	 213.000000
399	 338.000000	 213.000000
400	 338.000000	 213.000000
401	 338.000000	 213.000000
402	 338.000000	 213.000000
403	 338.000000	 213.000000
404	 338.000000	 213.000000
405	 338.000000	 213.000000
406	 338.000000	 213.000000
407	 338.000000	 213.000000
408	 338.000000	 213.000000
409	 338.000000	 213.000000
410	 336.000000	 212.000000
411	 336.000000	 212.000000
412	 336.000000	 212.000000
413	 336.000000	 212.000000
414	 336.000000	 212.000000
415	 353.000000	 208.000000
416	 354.000000	 211.000000
417	 354.000000	 210.000000
418	 357.000000	 209.000000
419	 357.000000	 209.000000
420	 358.000000	 209.000000
421	 358.000000	 209.000000
422	 358.000000	 211.000000
423	 361.000000	 208.000000
424	 359.000000	 210.000000
425	 359.000000	 210.000000
426	 359.000000	 210.000000
427	 359.000000	 210.000000
428	 359.000000	 210.000000
429	 359.000000	 210.000000
430	 359.000000	 210.000000
431	 359.000000	 210.000000
432	 359.000000	 210.000000
433	 362.000000	 214.000000
434	 359.000000	 209.000000
435	 359.000000	 209.000000
436	 359.000000	 209.000000
437	 359.000000	 209.000000
438	 359.000000	 209.000000
439	 359.000000	 209.000000
440	 359.000000	 209.000000
441	 359.000000	 209.000000
442	 359.000000	 209.000000
443	 359.000000	 207.000000
444	 358.000000	 209.000000
445	 355.000000	 210.000000
446	 353.000000	 208.000000
447	 354.000000	 207.000000
448	 353.000000	 207.000000
449	 353.000000	 207.000000
450	 353.000000	 207.000000
451	 334.000000	 209.000000
452	 333.000000	 212.000000
453	 329.000000	 214.000000
454	 329.000000	 212.000000
455	 329.000000	 212.000000
456	 329.000000	 212.000000
457	 329.000000	 212.000000
458	 329.000000	 212.000000
459	 329.000000	 212.000000
460	 329.000000	 212.000000
461	 329.000000	 212.000000
462	 329.000000	 212.000000
463	 329.000000	 212.000000
464	 329.000000	 212.000000
465	 329.000000	 212.000000
466	 329.000000	 212.000000
467	 325.000000	 211.000000
468	 325.000000	 211.000000
469	 326.000000	 211.000000
470	 327.000000	 212.000000
471	 326.000000	 212.000000
472	 327.000000	 210.000000
473	 327.000000	 210.000000
474	 327.000000	 210.000000
475	 327.000000	 210.000000
476	 327.000000	 210.000000
477	 327.000000	 210.000000
478	 327.000000	 210.000000
479	 337.000000	 212.000000
480	 338.000000	 212.000000
481	 353.000000	 209.000000
482	 352.000000	 210.000000
483	 340.000000	 212.000000
484	 356.000000	 208.000000
485	 350.000000	 210.000000
486	 350.000000	 211.000000
487	 350.000000	 211.000000
488	 350.000000	 211.000000
489	 358.000000	 209.000000
490	 358.000000	 209.000000
491	 358.000000	 209.000000
492	 358.000000	 209.000000
493	 358.000000	 209.000000
494	 362.000000	 211.000000
495	 363.000000	 212.000000
496	 363.000000	 212.000000
497	 363.000000	 212.000000
498	 363.000000	 212.000000
499	 363.000000	 212.000000
500	 357.000000	 209.000000
501	 361.000000	 208.000000
502	 363.000000	 207.000000
503	 362.000000	 211.000000
504	 361.000000	 211.000000
505	 361.000000	 208.000000
506	 356.000000	 211.000000
507	 351.000000	 209.000000
508	 356.000000	 209.000000
509	 339.000000	 211.000000
510	 338.000000	 212.000000
511	 338.000000	 212.000000
512	 342.000000	 207.000000
513	 334.000000	 212.000000
514	 333.000000	 213.000000
515	 330.000000	 214.000000
516	 327.000000	 214.000000
517	 325.000000	 212.000000
518	 327.000000	 209.000000
519	 327.000000	 210.000000
520	 324.000000	 213.000000
521	 320.000000	 209.000000
522	 321.000000	 214.000000
523	 318.000000	 209.000000
524	 317.000000	 210.000000
525	 323.000000	 210.000000
526	 325.000000	 211.000000
527	 327.000000	 212.000000
528	 328.000000	 211.000000
529	 328.000000	 209.000000
530	 330.000000	 214.000000
531	 332.000000	 209.000000
532	 355.000000	 211.000000
533	 333.000000	 211.000000
534	 335.000000	 210.000000
535	 338.000000	 211.000000
536	 338.000000	 211.000000
537	 338.000000	 213.000000
538	 342.000000	 211.000000
539	 339.000000	 213.000000
540	 337.000000	 213.000000
541	 344.000000	 212.000000
542	 353.000000	 209.000000
543	 339.000000	 214.000000
544	 339.000000	 214.000000
545	 339.000000	 214.000000
546	 339.000000	 214.000000
547	 339.000000	 214.000000
548	 339.000000	 214.000000
549	 339.000000	 214.000000
550	 361.000000	 209.000000
551	 340.000000	 220.000000
552	 340.000000	 220.000000
553	 340.000000	 220.000000
554	 340.000000	 220.000000
555	 360.000000	 208.000000
556	 364.000000	 214.000000
557	 361.000000	 211.000000
558	 360.000000	 209.000000
559	 343.000000	 212.000000
560	 362.000000	 211.000000
561	 358.000000	 209.000000
562	 342.000000	 211.000000
563	 342.000000	 211.000000
564	 342.000000	 211.000000
565	 342.000000	 211.000000
566	 334.000000	 211.000000
567	 334.000000	 211.000000
568	 336.000000	 211.000000
569	 332.000000	 211.000000
570	 332.000000	 211.000000
571	 334.000000	 211.000000
572	 334.000000	 211.000000
573	 328.000000	 211.000000
574	 328.000000	 211.000000
575	 325.000000	 210.000000
576	 324.000000	 210.000000
577	 321.000000	 210.000000
578	 321.000000	 210.000000
579	 322.000000	 210.000000
580	 322.000000	 211.000000
581	 322.000000	 211.000000
582	 323.000000	 210.000000
583	 323.000000	 210.000000
584	 326.000000	 211.000000
585	 327.000000	 209.000000
586	 327.000000	 211.000000
587	 326.000000	 210.000000
588	 329.000000	 210.000000
589	 329.000000	 210.000000
590	 333.000000	 212.000000
591	 330.000000	 210.000000
592	 332.000000	 214.000000
593	 333.000000	 215.000000
594	 337.000000	 213.000000
595	 334.000000	 212.000000
596	 334.000000	 212.000000
597	 336.000000	 211.000000
598	 359.000000	 209.000000
599	 355.000000	 209.000000
600	 339.000000	 211.000000
601	 357.000000	 206.000000
602	 343.000000	 211.000000
603	 358.000000	 211.000000
604	 358.000000	 205.000000
605	 343.000000	 211.000000
606	 344.000000	 210.000000
607	 359.000000	 212.000000
608	 346.000000	 216.000000
609	 347.000000	 212.000000
610	 364.000000	 210.000000
611	 363.000000	 209.000000
612	 364.000000	 212.000000
613	 364.000000	 212.000000
614	 364.000000	 212.000000
615	 364.000000	 212.000000
616	 340.000000	 215.000000
617	 340.000000	 215.000000
618	 340.000000	 215.000000
619	 362.000000	 208.000000
620	 365.000000	 208.000000
621	 361.000000	 208.000000
622	 361.000000	 209.000000
623	 361.000000	 209.000000
624	 348.000000	 212.000000
625	 360.000000	 207.000000
626	 337.000000	 212.000000
627	 341.000000	 212.000000
628	 333.000000	 211.000000
629	 332.000000	 210.000000
630	 332.000000	 210.000000
631	 332.000000	 210.000000
632	 332.000000	 210.000000
633	 330.000000	 210.000000
634	 328.000000	 211.000000
635	 329.000000	 210.000000
636	 327.000000	 209.000000
637	 323.000000	 209.000000
638	 324.000000	 212.000000
639	 323.000000	 212.000000
640	 321.000000	 210.000000
641	 322.000000	 211.000000
642	 325.000000	 210.000000
643	 331.000000	 211.000000
644	 327.000000	 210.000000
645	 328.000000	 212.000000
646	 328.000000	 212.000000
647	 331.000000	 213.000000
648	 331.000000	 213.000000
649	 332.000000	 211.000000
650	 337.000000	 209.000000
651	 336.000000	 208.000000
652	 337.000000	 209.000000
653	 337.000000	 209.000000
654	 356.000000	 209.000000
655	 356.000000	 209.000000
656	 337.000000	 213.000000
657	 337.000000	 213.000000
658	 337.000000	 213.000000
659	 337.000000	 213.000000
660	 361.000000	 209.000000
661	 346.000000	 211.000000
662	 343.000000	 214.000000
663	 357.000000	 209.000000
664	 357.000000	 212.000000
665	 355.000000	 212.000000
666	 356.000000	 209.000000
667	 363.000000	 207.000000
668	 363.000000	 208.000000
669	 362.000000	 208.000000
670	 359.000000	 213.000000
671	 350.000000	 215.000000
672	 367.000000	 213.000000
673	 367.000000	 213.000000
674	 367.000000	 213.000000
675	 367.000000	 213.000000
676	 367.000000	 213.000000
677	 367.000000	 213.000000
678	 363.000000	 210.000000
679	 361.000000	 210.000000
680	 362.000000	 210.000000
681	 362.000000	 209.000000
682	 355.000000	 208.000000
683	 353.000000	 207.000000
684	 347.000000	 208.000000
685	 355.000000	 208.000000
686	 355.000000	 208.000000
687	 337.000000	 210.000000
688	 333.000000	 211.000000
689	 329.000000	 215.000000
690	 329.000000	 210.000000
691	 331.000000	 209.000000
692	 326.000000	 214.000000
693	 326.000000	 214.000000
694	 326.000000	 214.000000
695	 330.000000	 211.000000
696	 327.000000	 211.000000
697	 325.000000	 210.000000
698	 322.000000	 210.000000
699	 324.000000	 208.000000
700	 317.000000	 209.000000
701	 323.000000	 212.000000
702	 321.000000	 212.000000
703	 320.000000	 210.000000
704	 319.000000	 213.000000
705	 326.000000	 212.000000
706	 326.000000	 210.000000
707	 327.000000	 209.000000
708	 327.000000	 214.000000
709	 332.000000	 211.000000
710	 333.000000	 211.000000
711	 336.000000	 210.000000
712	 336.000000	 210.000000
713	 337.000000	 214.000000
714	 337.000000	 214.000000
715	 337.000000	 211.000000
716	 335.000000	 212.000000
717	 337.000000	 213.000000
718	 338.000000	 212.000000
719	 338.000000	 212.000000
720	 338.000000	 212.000000
721	 338.000000	 212.000000
722	 361.000000	 209.000000
723	 362.000000	 210.000000
724	 362.000000	 212.000000
725	 347.000000	 214.000000
726	 364.000000	 208.000000
727	 359.000000	 209.000000
728	 362.000000	 209.000000
729	 363.000000	 211.000000
730	 363.000000	 211.000000
731	 347.000000	 214.000000
732	 343.000000	 220.000000
733	 343.000000	 220.000000
734	 343.000000	 220.000000
735	 343.000000	 220.000000
736	 343.000000	 220.000000
737	 343.000000	 220.000000
738	 343.000000	 220.000000
739	 343.000000	 220.000000
740	 343.000000	 220.000000
741	 353.000000	 213.000000
742	 361.000000	 208.000000
743	 360.000000	 210.000000
744	 366.000000	 210.000000
745	 363.000000	 209.000000
746	 363.000000	 210.000000
747	 360.000000	 209.000000
748	 359.000000	 208.000000
749	 354.000000	 211.000000
750	 354.000000	 210.000000
751	 354.000000	 210.000000
752	 340.000000	 209.000000
753	 340.000000	 209.000000
754	 333.000000	 211.000000
755	 333.000000	 209.000000
756	 331.000000	 212.000000
757	 333.000000	 209.000000
758	 329.000000	 211.000000
759	 331.000000	 209.000000
760	 328.000000	 208.000000
761	 323.000000	 213.000000
762	 321.000000	 211.000000
763	 322.000000	 210.000000
764	 323.000000	 211.000000
765	 322.000000	 210.000000
766	 323.000000	 213.000000
767	 323.000000	 212.000000
768	 327.000000	 212.000000
769	 328.000000	 212.000000
770	 330.000000	 210.000000
771	 328.000000	 214.000000
772	 330.000000	 212.000000
773	 330.000000	 211.000000
774	 333.000000	 209.000000
775	 337.000000	 209.000000
776	 338.000000	 211.000000
777	 338.000000	 211.000000
778	 338.000000	 211.000000
779	 339.000000	 211.000000
780	 338.000000	 211.000000
781	 338.000000	 211.000000
782	 338.000000	 211.000000
783	 338.000000	 211.000000
784	 345.000000	 215.000000
785	 341.000000	 214.000000
786	 360.000000	 207.000000
787	 346.000000	 214.000000
788	 345.000000	 210.000000
789	 361.000000	 211.000000
790	 364.000000	 209.000000
791	 366.000000	 209.000000
792	 366.000000	 209.000000
793	 369.000000	 210.000000
794	 369.000000	 210.000000
795	 363.000000	 207.000000
796	 360.000000	 214.000000
797	 360.000000	 214.000000
798	 360.000000	 214.000000
799	 360.000000	 214.000000
800	 362.000000	 212.000000
801	 362.000000	 212.000000
802	 351.000000	 216.000000
803	 350.000000	 215.000000
804	 350.000000	 210.000000
805	 361.000000	 212.000000
806	 361.000000	 212.000000
807	 349.000000	 212.000000
808	 349.000000	 213.000000
809	 353.000000	 210.000000
810	 346.000000	 214.000000
811	 359.000000	 209.000000
812	 359.000000	 209.000000
813	 359.000000	 209.000000
814	 359.000000	 209.000000
815	 359.000000	 209.000000
816	 340.000000	 210.000000
817	 340.000000	 210.000000
818	 337.000000	 210.000000
819	 338.000000	 212.000000
820	 334.000000	 210.000000
821	 332.000000	 213.000000
822	 334.000000	 209.000000
823	 333.000000	 212.000000
824	 330.000000	 211.000000
